 Copper example                                         Feff 6L.02    potph 4.12
 Abs   Z=29 Rmt= 1.291 Rnm= 1.427 K shell
 Pot 1 Z=29 Rmt= 1.275 Rnm= 1.395
 Gam_ch=1.761E+00 H-L exch
 Mu=-5.515E+00 kf=1.799E+00 Vint=-1.785E+01 Rs_int= 2.016
 Path    5      icalc       2                           Feff 6L.02   genfmt 1.44
 -------------------------------------------------------------------------------
   2  24.000   4.4213    2.6370   -5.51473 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  29 Cu       absorbing atom
    -1.8050    3.6100    1.8050  1  29 Cu    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  3.5093E+00  0.0000E+00 -5.5422E+00  0.9867E+00  1.5577E+01  1.8002E+00
  0.200  3.5115E+00  9.3644E-02 -7.2184E+00  0.9872E+00  1.5667E+01  1.8108E+00
  0.400  3.5175E+00  1.7852E-01 -8.7148E+00  0.9886E+00  1.5905E+01  1.8424E+00
  0.600  3.5261E+00  2.4967E-01 -1.0044E+01  0.9911E+00  1.6201E+01  1.8939E+00
  0.800  3.5348E+00  3.0651E-01 -1.1220E+01  0.9950E+00  1.6424E+01  1.9641E+00
  1.000  3.5406E+00  3.5062E-01 -1.2255E+01  0.1001E+01  1.6438E+01  2.0514E+00
  1.200  3.5394E+00  3.8357E-01 -1.3158E+01  0.1008E+01  1.6157E+01  2.1548E+00
  1.400  3.5263E+00  4.0592E-01 -1.3935E+01  0.1018E+01  1.5589E+01  2.2733E+00
  1.600  3.4964E+00  4.1722E-01 -1.4589E+01  0.1030E+01  1.4836E+01  2.4064E+00
  1.800  3.4445E+00  4.1645E-01 -1.5119E+01  0.1043E+01  1.4064E+01  2.5540E+00
  2.000  3.3663E+00  4.0265E-01 -1.5519E+01  0.1054E+01  1.3454E+01  2.7163E+00
  2.200  3.2580E+00  3.7566E-01 -1.5780E+01  0.1059E+01  1.3181E+01  2.8938E+00
  2.400  3.1482E+00  3.6426E-01 -1.5984E+01  0.1235E+01  7.4666E+00  3.0831E+00
  2.600  3.1696E+00  3.5919E-01 -1.6572E+01  0.1306E+01  6.1155E+00  3.2143E+00
  2.800  3.1646E+00  3.3455E-01 -1.7065E+01  0.1328E+01  5.5966E+00  3.3533E+00
  3.000  3.1246E+00  3.0378E-01 -1.7434E+01  0.1322E+01  5.3873E+00  3.4997E+00
  3.200  3.0636E+00  2.6600E-01 -1.7694E+01  0.1305E+01  5.3334E+00  3.6525E+00
  3.400  2.9969E+00  2.3980E-01 -1.7827E+01  0.1281E+01  5.3719E+00  3.8111E+00
  3.600  2.9127E+00  2.3048E-01 -1.7846E+01  0.1255E+01  5.4718E+00  3.9747E+00
  3.800  2.8299E+00  2.4830E-01 -1.7824E+01  0.1229E+01  5.6159E+00  4.1427E+00
  4.000  2.7346E+00  2.8583E-01 -1.7825E+01  0.1205E+01  5.7938E+00  4.3145E+00
  4.200  2.6454E+00  3.3329E-01 -1.7866E+01  0.1178E+01  5.9986E+00  4.4896E+00
  4.400  2.5412E+00  3.8871E-01 -1.7938E+01  0.1156E+01  6.2259E+00  4.6675E+00
  4.600  2.4432E+00  4.4317E-01 -1.8027E+01  0.1133E+01  6.4721E+00  4.8478E+00
  4.800  2.3478E+00  4.9627E-01 -1.8117E+01  0.1113E+01  6.7350E+00  5.0303E+00
  5.000  2.2513E+00  5.4209E-01 -1.8213E+01  0.1094E+01  7.0126E+00  5.2147E+00
  5.200  2.1506E+00  5.8581E-01 -1.8307E+01  0.1077E+01  7.3036E+00  5.4006E+00
  5.400  2.0541E+00  6.2550E-01 -1.8392E+01  0.1063E+01  7.6068E+00  5.5880E+00
  5.600  1.9555E+00  6.5818E-01 -1.8479E+01  0.1049E+01  7.9212E+00  5.7765E+00
  5.800  1.8623E+00  6.8953E-01 -1.8559E+01  0.1036E+01  8.2462E+00  5.9662E+00
  6.000  1.7659E+00  7.1492E-01 -1.8633E+01  0.1025E+01  8.5811E+00  6.1568E+00
  6.500  1.5312E+00  7.5719E-01 -1.8806E+01  0.1002E+01  9.4584E+00  6.6367E+00
  7.000  1.3032E+00  7.7114E-01 -1.8959E+01  0.9842E+00  1.0388E+01  7.1206E+00
  7.500  1.0856E+00  7.6000E-01 -1.9100E+01  0.9692E+00  1.1365E+01  7.6074E+00
  8.000  8.8026E-01  7.3195E-01 -1.9229E+01  0.9562E+00  1.2387E+01  8.0965E+00
  8.500  6.8601E-01  6.9410E-01 -1.9347E+01  0.9452E+00  1.3450E+01  8.5873E+00
  9.000  5.0042E-01  6.4883E-01 -1.9461E+01  0.9362E+00  1.4552E+01  9.0795E+00
